sample	accession	fasta	assembly_level	organism_name	taxid	ftp_path	ftp_fasta
GCF_040554455v1	GCF_040554455.1	GCF_040554455.1_genomic.fna	complete	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/554/455/GCF_040554455.1_ASM4055445v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/554/455/GCF_040554455.1_ASM4055445v1/GCF_040554455.1_ASM4055445v1_genomic.fna.gz
GCF_003628555v1	GCF_003628555.1	GCF_003628555.1_genomic.fna	complete	Azoarcus sp. DN11	356837	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/628/555/GCF_003628555.1_ASM362855v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/628/555/GCF_003628555.1_ASM362855v1/GCF_003628555.1_ASM362855v1_genomic.fna.gz
GCF_900489725v1	GCF_900489725.1	GCF_900489725.1_genomic.fna	complete	Mycoplasma mycoides subsp. capri	40477	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/489/725/GCF_900489725.1_MMC-Mcap-MMC-u1-3-P2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/489/725/GCF_900489725.1_MMC-Mcap-MMC-u1-3-P2/GCF_900489725.1_MMC-Mcap-MMC-u1-3-P2_genomic.fna.gz
GCF_050506935v1	GCF_050506935.1	GCF_050506935.1_genomic.fna	complete	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/506/935/GCF_050506935.1_ASM5050693v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/506/935/GCF_050506935.1_ASM5050693v1/GCF_050506935.1_ASM5050693v1_genomic.fna.gz
GCF_025403965v1	GCF_025403965.1	GCF_025403965.1_genomic.fna	contig	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/403/965/GCF_025403965.1_ASM2540396v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/403/965/GCF_025403965.1_ASM2540396v1/GCF_025403965.1_ASM2540396v1_genomic.fna.gz
GCF_039571325v1	GCF_039571325.1	GCF_039571325.1_genomic.fna	contig	Klebsiella oxytoca	571	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/571/325/GCF_039571325.1_ASM3957132v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/571/325/GCF_039571325.1_ASM3957132v1/GCF_039571325.1_ASM3957132v1_genomic.fna.gz
GCF_900583485v1	GCF_900583485.1	GCF_900583485.1_genomic.fna	contig	Pseudomonas viridiflava	33069	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/583/485/GCF_900583485.1_p20.A11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/583/485/GCF_900583485.1_p20.A11/GCF_900583485.1_p20.A11_genomic.fna.gz
GCF_013414495v1	GCF_013414495.1	GCF_013414495.1_genomic.fna	contig	Vibrio cholerae O139	45888	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/414/495/GCF_013414495.1_ASM1341449v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/414/495/GCF_013414495.1_ASM1341449v1/GCF_013414495.1_ASM1341449v1_genomic.fna.gz
GCF_021286605v1	GCF_021286605.1	GCF_021286605.1_genomic.fna	contig	Enterobacter bugandensis	881260	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/286/605/GCF_021286605.1_ASM2128660v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/286/605/GCF_021286605.1_ASM2128660v1/GCF_021286605.1_ASM2128660v1_genomic.fna.gz
GCF_040326695v1	GCF_040326695.1	GCF_040326695.1_genomic.fna	contig	Citrobacter koseri	545	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/326/695/GCF_040326695.1_ASM4032669v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/326/695/GCF_040326695.1_ASM4032669v1/GCF_040326695.1_ASM4032669v1_genomic.fna.gz
